robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
2,1,"[0.6115808111762653, 0.433463634458056]","[0.9668518498257337, 0.320750320879281]","[0.6485888522408932, 0.41984918275887506]","[-0.7151754103484833, 0.29374135958281244]","[-0.7179436855118624, 0.2281495174973862]","[0.07401608212925592, -0.027228903398361926]",0.1390772968008304
2,2,"[0.6122959865866138, 0.4331698930984732]","[0.9668518498257337, 0.320750320879281]","[0.6485920616419242, 0.41978131978321764]","[-0.7890426804738139, 0.32078936135307445]","[-0.7163709414893019, 0.2275168591014355]","[0.07259215011062081, -0.026777146630511117]",0.13849768627116754
2,3,"[0.6130850292670876, 0.4328491037371201]","[0.9668518498257337, 0.320750320879281]","[0.6769559342175088, 0.40937402421911756]","[-0.7343297629104975, 0.3507341962616425]","[-0.7203078221073763, 0.22889258161927867]","[0.12774180990084227, -0.04695015903600508]",0.13818015763213845
2,4,"[0.6138193590299982, 0.43249836954085846]","[0.9668518498257337, 0.320750320879281]","[0.6769012212999455, 0.409344079384209]","[-0.7894310399997508, 0.37078316112504883]","[-0.7186813540454605, 0.2281269553544848]","[0.12616372453989455, -0.046308580313298875]",0.13757111018712165
2,5,"[0.6146087900699979, 0.4321275863797334]","[0.9668518498257337, 0.320750320879281]","[0.6573207048540409, 0.4347622569328857]","[-0.8298897158645407, 0.4251086904192708]","[-0.7130285024682802, 0.22222759689027435]","[0.08542382956808603, 0.005269341106304615]",0.13666319333178542
2,6,"[0.6154386797858624, 0.43170247768931413]","[0.9668518498257337, 0.320750320879281]","[0.6573635705806788, 0.43465703417184837]","[-0.8454866952525294, 0.3940168414163757]","[-0.7112113182387059, 0.2213134023235594]","[0.08384978158963285, 0.005909112965068464]",0.13597823976548626
2,7,"[0.616284166481115, 0.43130846084789776]","[0.9668518498257337, 0.320750320879281]","[0.6573824761592817, 0.4346841246913449]","[-0.8044382844475533, 0.3424705760973422]","[-0.7093550286248709, 0.22044114716854407]","[0.08219661935633349, 0.006751327686894237]",0.1352908495354118
2,8,"[0.6170886047655625, 0.43096599027180044]","[0.9668518498257337, 0.320750320879281]","[0.6677757505848025, 0.44097230789197434]","[-0.7653571334562165, 0.4074041829222249]","[-0.7096639192841904, 0.21843007526100405]","[0.10137429163848011, 0.020012635240347798]",0.1347487526890242
2,9,"[0.6178539618990188, 0.4305585860888782]","[0.9668518498257337, 0.320750320879281]","[0.6701177948091896, 0.4400121593133895]","[-0.7536008734350953, 0.36661835874391413]","[-0.7084485424354641, 0.21772581577429212]","[0.10452766582034179, 0.018907146449022583]",0.13413946871336643
2,10,"[0.6186075627724539, 0.4301919677301343]","[0.9668518498257337, 0.320750320879281]","[0.6700392274380201, 0.44005618465261054]","[-0.8040530083245085, 0.3851311427637585]","[-0.7067749070396728, 0.21691045031721132]","[0.10286332933113251, 0.019728433844952487]",0.1335258094212505
