robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
2,1,"[0.6122927771855828, 0.4332377560741306]","[0.9668518498257337, 0.320750320879281]","[0.5228980243157003, 0.6004342549512396]","[-0.7269970958542782, 0.25841417016512097]","[-0.5482075901145131, -0.07597882758909696]","[-0.17878950573976504, 0.33439299775421794]",0.17071704103784668
2,2,"[0.6137467713772914, 0.4327209277338004]","[0.9668518498257337, 0.320750320879281]","[0.5503727538337284, 0.6070197596370974]","[-0.486232758815745, -0.060689746775291376]","[-0.5921369253184713, -0.08979668371689592]","[-0.12674803508712595, 0.34859766380659407]",0.16817732723766898
2,3,"[0.6147192368949229, 0.43284230722735095]","[0.9668518498257337, 0.320750320879281]","[0.5758999874655572, 0.602039247986669]","[-0.4826931372583794, -0.1099339263125073]","[-0.6343905768887632, -0.08037052067063255]","[-0.07763849885873153, 0.33839388151863603]",0.16368307549265043
2,4,"[0.6156846231694397, 0.43306217507997596]","[0.9668518498257337, 0.320750320879281]","[0.5936148384004023, 0.5973818958817707]","[-0.5243298758684238, -0.10526489407692334]","[-0.6626088407283206, -0.07115178904184066]","[-0.04413956953807485, 0.3286394416035895]",0.16067161511118938
2,5,"[0.6167332829211766, 0.4332727048681298]","[0.9668518498257337, 0.320750320879281]","[0.6053901673329453, 0.5939316583620824]","[-0.5669752194920833, -0.09327114362677713]","[-0.6798195257502979, -0.0641413483114171]","[-0.022686231176462623, 0.3213179069879052]",0.15859026683795277
2,6,"[0.6178672333601607, 0.43345924715538336]","[0.9668518498257337, 0.320750320879281]","[0.6131426515550483, 0.5914231610237048]","[-0.6022192213830532, -0.08198197816903349]","[-0.6894649856819437, -0.05891719241077398]","[-0.009449163610224742, 0.31592782773664296]",0.15697099237398346
2,7,"[0.6190716718029268, 0.4336232111117214]","[0.9668518498257337, 0.320750320879281]","[0.6182261494398258, 0.5895590192969047]","[-0.6291424163162771, -0.07257210792508344]","[-0.6940384157920321, -0.05493867426844906]","[-0.0016910447262019623, 0.31187161637036653]",0.1555763636391893
2,8,"[0.6203299566355593, 0.4337683553275716]","[0.9668518498257337, 0.320750320879281]","[0.6215430157614216, 0.5881251904495712]","[-0.6486188109211166, -0.06497630895171366]","[-0.6952272928069007, -0.051806234323018285]","[0.0024261182517244517, 0.3087136702439993]",0.15429525222584828
2,9,"[0.6216271942574015, 0.433898307945475]","[0.9668518498257337, 0.320750320879281]","[0.6236884399412289, 0.5869780283659674]","[-0.6619441913171391, -0.05890084436769821]","[-0.6941595533675535, -0.04924752262449822]","[0.004122491367654746, 0.3061594408409847]",0.15307641437341185
2,10,"[0.6229510826400358, 0.4340161096342104]","[0.9668518498257337, 0.320750320879281]","[0.6250550173115881, 0.5860223859829616]","[-0.6704052240096212, -0.054035068924488526]","[-0.6915886167801897, -0.0470797199178935]","[0.0042078693431044645, 0.3040125526975025]",0.15189617770465141
2,11,"[0.6242918930880551, 0.43412417977205936]","[0.9668518498257337, 0.320750320879281]","[0.6259023478603983, 0.5851952795660402]","[-0.6751283641240643, -0.05010471623224991]","[-0.688018732065575, -0.045180261843608904]","[0.0032209095446864566, 0.30214219958796174]",0.15074351952214288
2,12,"[0.6256421498163033, 0.4342243892045239]","[0.9668518498257337, 0.320750320879281]","[0.6264026050231257, 0.5844549209430516]","[-0.6770388539793284, -0.04688429086999993]","[-0.6837882193911412, -0.04346682047886419]","[0.0015209104136448826, 0.3004610634770555]",0.14961323542551352
2,13,"[0.626996227524262, 0.43431815778626387]","[0.9668518498257337, 0.320750320879281]","[0.6266703289980737, 0.5837735034680966]","[-0.6768674061791857, -0.04419571524600278]","[-0.6791246272558046, -0.041883948413333316]","[-0.0006517970523765015, 0.29891069136366555]",0.14850280349610465
2,14,"[0.6283499623366203, 0.43440654921675587]","[0.9668518498257337, 0.320750320879281]","[0.6267819480027533, 0.5831324681511575]","[-0.6751758943057939, -0.04190206197761409]","[-0.6741813491772661, -0.04039419740697325]","[-0.003136028667733992, 0.29745183786880325]",0.14741093794224264
2,15,"[0.6297003141252319, 0.4344903533407111]","[0.9668518498257337, 0.320750320879281]","[0.6267886077316247, 0.5825193912632136]","[-0.6723881005875915, -0.039900037906471564]","[-0.6690619998925108, -0.038972203337644284]","[-0.0058234127872143215, 0.296058075845005]",0.14633691970167975
2,16,"[0.6310450903264071, 0.43457015341652405]","[0.9668518498257337, 0.320750320879281]","[0.6267246300374373, 0.5819259319785108]","[-0.6688190314638633, -0.038112829391844225]","[-0.6638366904785075, -0.03760073633709016]","[-0.008640920577939637, 0.29471155712397357]",0.14528028667169068
2,17,"[0.6323827283893348, 0.43464637907530773]","[0.9668518498257337, 0.320750320879281]","[0.6266131078722186, 0.5813464747421824]","[-0.6647001959013112, -0.03648394057632548]","[-0.6585529259419884, -0.03626805580832093]","[-0.011539241034232539, 0.2934001913337493]",0.14424069119765276
2,18,"[0.6337121287811375, 0.43471934695646036]","[0.9668518498257337, 0.320750320879281]","[0.6264696177852118, 0.5807772283589263]","[-0.6602002009207585, -0.034972177326183414]","[-0.6532429222965263, -0.034966134370080004]","[-0.01448502199185131, 0.2921157628049319]",0.1432178354594248
2,19,"[0.635032529182979, 0.4347892913111127]","[0.9668518498257337, 0.320750320879281]","[0.6263046909761315, 0.5802156263058107]","[-0.6554409336998455, -0.03354770835161483]","[-0.6479285325131837, -0.03368946212679297]","[-0.017455676413695054, 0.29085266998939596]",0.14221144299175092
2,20,"[0.6363434110503787, 0.43485638672781596]","[0.9668518498257337, 0.320750320879281]","[0.6261254629848279, 0.5796599263539717]","[-0.6505099607915266, -0.0321890483758749]","[-0.6426245710327183, -0.03243423963001041]","[-0.02043589613110175, 0.28960707925231144]",0.1412212467609933
