robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
3,1,"[0.31010977731821676, 0.7147134331923328]","[0.20033155121842627, 0.8577591891930944]","[0.46884330429230947, 0.755813592973856]","[0.25130315759439953, -0.27787148004521844]","[-0.06616389635378589, -0.36007179960826474]","[0.3174670539481854, 0.0822003195630463]",0.0567103473831777
3,2,"[0.30985847416062234, 0.714991304672378]","[0.20033155121842627, 0.8577591891930944]","[0.5306737326055668, 0.7442215971963174]","[0.06979489104176262, -0.3847580462760228]","[-0.17841361931650795, -0.33815029558452353]","[0.44163051688988897, 0.058460585047878766]",0.07703122522653477
3,3,"[0.3097886792695806, 0.7153760627186541]","[0.20033155121842627, 0.8577591891930944]","[0.5566846704436893, 0.727092627973619]","[-0.0693129762115649, -0.40902997556022563]","[-0.22549852801108705, -0.30585607040781737]","[0.4937919823482174, 0.02343313050992979]",0.08723923510914072
3,4,"[0.30985799224579214, 0.7157850926942143]","[0.20033155121842627, 0.8577591891930944]","[0.5697278864675293, 0.7112272266959082]","[-0.1446942533195512, -0.40236213877408156]","[-0.2487129275443951, -0.2757440342008091]","[0.5197397884434742, -0.009115731996612197]",0.09295050781954217
3,5,"[0.31000268649911167, 0.7161874548329884]","[0.20033155121842627, 0.8577591891930944]","[0.5777733618492513, 0.697290572562905]","[-0.1823615382803171, -0.38732178627097175]","[-0.2626449450688806, -0.24912908063406186]","[0.5355413507002793, -0.0377937645401667]",0.09692271794678214
3,6,"[0.310185048037392, 0.7165747766192594]","[0.20033155121842627, 0.8577591891930944]","[0.5836335433137825, 0.6850580267866605]","[-0.2019492633948774, -0.37041069957792566]","[-0.2725002978595714, -0.2256386754489919]","[0.546896990552781, -0.06303349966519778]",0.10019147569721285
3,7,"[0.3103869973007869, 0.7169451873188373]","[0.20033155121842627, 0.8577591891930944]","[0.5883536075702751, 0.6742518846228323]","[-0.21351170038753456, -0.3532212877719864]","[-0.2802290063203575, -0.2047800588957051]","[0.5559332205389764, -0.08538660539201004]",0.10312012340405269
3,8,"[0.3106005090011744, 0.7172984086066092]","[0.20033155121842627, 0.8577591891930944]","[0.5923568437078246, 0.6646521695644381]","[-0.2215966885838295, -0.3360748880817993]","[-0.2866234869064741, -0.18615833089706224]","[0.5635126694133004, -0.10529247808434228]",0.1058309067028084
3,9,"[0.31082210568975827, 0.7176344834946911]","[0.20033155121842627, 0.8577591891930944]","[0.5958372380257755, 0.6560910672918556]","[-0.22815900005862008, -0.31903483238725205]","[-0.292046129262167, -0.1694712622317028]","[0.5700302646720344, -0.12308683240567087]",0.10836219173903608
3,10,"[0.3110502646898169, 0.7179535183270783]","[0.20033155121842627, 0.8577591891930944]","[0.5988986802192051, 0.6484364413792104]","[-0.23401495443869177, -0.30215167130939347]","[-0.2966897210101176, -0.15448060322586982]","[0.5756968310587764, -0.1390341538957358]",0.11072465999819632
3,11,"[0.3112842796442556, 0.7182556699983877]","[0.20033155121842627, 0.8577591891930944]","[0.6016065830527082, 0.6415800117377063]","[-0.2394929155867609, -0.2855000970895762]","[-0.3006746892835561, -0.1409908535201866]","[0.5806446068169052, -0.1533513165213629]",0.11292131659633228
3,12,"[0.31152377255984237, 0.7185411700954774]","[0.20033155121842627, 0.8577591891930944]","[0.6040080571620959, 0.6354302116476739]","[-0.24471394611994804, -0.26916857509589664]","[-0.30408726960122423, -0.12883631298918774]","[0.5849685692045071, -0.16622191689560695]",0.11495440626636703
3,13,"[0.31176848650596234, 0.7188103386705732]","[0.20033155121842627, 0.8577591891930944]","[0.606140289804274, 0.62990796978362]","[-0.24971242998356913, -0.2532449504095874]","[-0.3069953753618889, -0.11787343704852646]","[0.5887436065966234, -0.17780473777390648]",0.11682752440153907
3,14,"[0.3120181989359459, 0.7190635836209828]","[0.20033155121842627, 0.8577591891930944]","[0.6080342848434335, 0.6249441245621924]","[-0.2544883598856621, -0.23780708643496082]","[-0.3094556591984384, -0.10797618483840046]","[0.5920321718149751, -0.18823891811758076]",0.11854597440394965
3,15,"[0.3122726872958316, 0.7193013907074177]","[0.20033155121842627, 0.8577591891930944]","[0.6097166865584871, 0.6204777251120082]","[-0.2590301445447645, -0.2229185181496413]","[-0.31151692651796936, -0.09903299889961606]","[0.594887998525311, -0.19764733119081912]",0.12011652452896877
3,16,"[0.31253171744037633, 0.7195243092255673]","[0.20033155121842627, 0.8577591891930944]","[0.611210769577628, 0.6164548216989502]","[-0.2633244391403644, -0.2086274108734743]","[-0.31322196140315284, -0.09094468238714318]","[0.5973581042745033, -0.2061389750532343]",0.12154700524001574
3,17,"[0.3127950418795167, 0.7197329366364408]","[0.20033155121842627, 0.8577591891930944]","[0.6125370441212374, 0.6128275397373641]","[-0.267360150972197, -0.19496733365511917]","[-0.31460862271291656, -0.0836227906949692]","[0.5994840044834415, -0.21381079379815326]",0.12284591174113264
3,18,"[0.31306240203048885, 0.7199279039700959]","[0.20033155121842627, 0.8577591891930944]","[0.6137136709098789, 0.609553330578]","[-0.27112980601473335, -0.18195887318087126]","[-0.315710582358777, -0.07698833834022437]","[0.6013025377587802, -0.22074914678419177]",0.12402206664828211
3,19,"[0.3133335318365036, 0.7201098628432767]","[0.20033155121842627, 0.8577591891930944]","[0.6147567734187691, 0.6065943423357645]","[-0.27462973352426123, -0.16961152928552414]","[-0.31655787361192333, -0.07097071578611325]","[0.602846483164531, -0.22703104101502447]",0.12508435423401393
3,20,"[0.31360816157002785, 0.7202794743725622]","[0.20033155121842627, 0.8577591891930944]","[0.6156806888682449, 0.6039168791814593]","[-0.27785974810803893, -0.1579256000787934]","[-0.3171773284335875, -0.06550675829707897]","[0.6041450545964341, -0.23272519038220585]",0.1260415212170299
3,21,"[0.31388602131813587, 0.720437399972641]","[0.20033155121842627, 0.8577591891930944]","[0.6164981785759397, 0.6014909302689568]","[-0.28082264809424856, -0.14689391953077519]","[-0.3175929428646277, -0.06053993297427521]","[0.6052243145156077, -0.23789293940736833]",0.1269020338120046
3,22,"[0.3141668439662301, 0.7205842938921718]","[0.20033155121842627, 0.8577591891930944]","[0.6172206086798536, 0.5992897560780075]","[-0.2835236779628816, -0.13650339440051884]","[-0.3178261909889146, -0.05601962253634926]","[0.606107529427247, -0.24258907562832865]",0.12767398006538408
3,23,"[0.314450367644193, 0.7207207972865723]","[0.20033155121842627, 0.8577591891930944]","[0.6178581076321081, 0.5972895235227231]","[-0.2859700203154732, -0.12673633042743598]","[-0.3178962991267139, -0.05190049103811542]","[0.6068154799758303, -0.24686254752769843]",0.12836500754352992
3,24,"[0.3147363376645085, 0.7208475336169998]","[0.20033155121842627, 0.8577591891930944]","[0.6184197045601534, 0.5954689832265039]","[-0.2881703432092676, -0.11757155821333462]","[-0.3178204875199965, -0.048141920449296355]","[0.6073667337912898, -0.2507571007809919]",0.1289822879987481
3,25,"[0.31502450800771775, 0.7209651051752132]","[0.20033155121842627, 0.8577591891930944]","[0.6189134513773419, 0.5938091836398551]","[-0.2901344098228807, -0.10898537784250735]","[-0.3176141844867405, -0.04470750927211789]","[0.6077778867392483, -0.2543118430707161]",0.1295325022147929
3,26,"[0.31531464241754065, 0.7210740905530557]","[0.20033155121842627, 0.8577591891930944]","[0.6193465308367327, 0.592293217543859]","[-0.29187274877919067, -0.1009523438746742]","[-0.317291216756317, -0.04156462586352319]","[0.6080637768383842, -0.25756174601839343]",0.13002183963781677
3,27,"[0.3156065151663198, 0.7211750428969304]","[0.20033155121842627, 0.8577591891930944]","[0.6197253522971616, 0.5909059971203714]","[-0.2933963798215058, -0.09344591202358576]","[-0.3168639789397282, -0.03868401019452186]","[0.6082376742616836, -0.2605380915531179]",0.13045600857945572
3,28,"[0.31589991154614133, 0.7212684888089539]","[0.20033155121842627, 0.8577591891930944]","[0.6200556366830694, 0.5896340542718955]","[-0.2947165883361394, -0.08643896722431597]","[-0.3163435845910404, -0.03603941860157586]","[0.6083114502738561, -0.26326886907411673]",0.1308402537407053
3,29,"[0.31619462813447746, 0.7213549277761782]","[0.20033155121842627, 0.8577591891930944]","[0.62034249190791, 0.5884653632870588]","[-0.2958447421516947, -0.07990425071382856]","[-0.31574000096007626, -0.033607306753417526]","[0.6082957275468651, -0.26577912897823874]",0.1311793785743945
3,30,"[0.3164904728766292, 0.721434832026892]","[0.20033155121842627, 0.8577591891930944]","[0.6205904798645564, 0.5873891832975227]","[-0.2967921444845484, -0.0738147016010546]","[-0.31506216926186315, -0.031366546619540026]","[0.6082000139758544, -0.2680912974587386]",0.1314777706115762
3,31,"[0.3167872650211137, 0.721508646728493]","[0.20033155121842627, 0.8577591891930944]","[0.6208036759491414, 0.5863959182739062]","[-0.2975699175286222, -0.06814372636721425]","[-0.3143181120650751, -0.02929817371094648]","[0.6080328218560554, -0.27022545690917354]",0.13173942835279367
3,32,"[0.3170848349386423, 0.7215767904548602]","[0.20033155121842627, 0.8577591891930944]","[0.62098572196869, 0.5854769925712504]","[-0.2981889118559646, -0.06286540788833553]","[-0.3135150292136537, -0.027385161285970572]","[0.6078017740600953, -0.27219959576721964]",0.13196798869500098
