robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
4,1,"[0.9013966233572133, 0.1935902150776813]","[0.5131460905854898, 0.17924005478882832]","[0.7589010094254596, 0.3792317060452576]","[0.7480019427570963, 0.0658286187712212]","[1.0329931706206037, -0.3054543631639314]","[-0.2849912278635074, 0.3712829819351526]",0.20023539014044983
4,2,"[0.9006486214144561, 0.19352438645891007]","[0.5131460905854898, 0.17924005478882832]","[0.7589310646626056, 0.37919463526273656]","[1.03165277817107, -0.3055802688342238]","[1.0300966638112636, -0.3056377845067242]","[-0.283435113503701, 0.371340497607653]",0.1994638299944448
4,3,"[0.899616968636285, 0.1938299667277443]","[0.5131460905854898, 0.17924005478882832]","[0.7586474138271917, 0.379566044150342]","[1.028182958643473, -0.30501345824530146]","[1.0266869547579587, -0.3051451154828439]","[-0.2819391096181867, 0.3714721548451954]",0.19850588036720446
4,4,"[0.8985887856776416, 0.1941349801859896]","[0.5131460905854898, 0.17924005478882832]","[0.6982349707482729, 0.46659160222049795]","[0.8924217909129587, -0.11299415707064353]","[1.1315222570571672, -0.4606320688677925]","[-0.4007076298587373, 0.5449132440690168]",0.2517247658449745
4,5,"[0.8976963638867286, 0.19424797434306024]","[0.5131460905854898, 0.17924005478882832]","[0.6983707319160034, 0.46639958291932326]","[1.009611104163412, -0.2862702606719727]","[1.127886684149783, -0.45985705632880963]","[-0.39865126394145034, 0.544303217152526]",0.25052163539546257
4,6,"[0.8966867527825652, 0.1945342446037322]","[0.5131460905854898, 0.17924005478882832]","[0.6982660756772366, 0.4665555839134792]","[1.1265483328077701, -0.45916599684893095]","[1.124238543183742, -0.4590500311277368]","[-0.396841354210657, 0.544042678619494]",0.24936708852919037
4,7,"[0.8955602044497574, 0.19499341060058112]","[0.5131460905854898, 0.17924005478882832]","[0.6981491384485923, 0.46672847964965614]","[1.122687248632194, -0.4580443803743354]","[1.1201681465306323, -0.45761641266482944]","[-0.3948221320023302, 0.54347013809815]",0.24801869175966446
4,8,"[0.8944375172011252, 0.19545145498095545]","[0.5131460905854898, 0.17924005478882832]","[0.6980330924126191, 0.4669017195215044]","[1.1185989140201675, -0.45657816177505706]","[1.1161108178505819, -0.4561876757887338]","[-0.3928088495770121, 0.5429005290810979]",0.24667991128284994
4,9,"[0.893318918287105, 0.1959080331427305]","[0.5131460905854898, 0.17924005478882832]","[0.711824894032718, 0.4556048633531785]","[1.1721451435803756, -0.5024841871312361]","[1.087034899061127, -0.434118337671002]","[-0.362988048508774, 0.519393660420896]",0.23515347244031376
4,10,"[0.8921467731435246, 0.19641051732986173]","[0.5131460905854898, 0.17924005478882832]","[0.678513711820046, 0.5035398481204421]","[0.9736487597238371, -0.2547666300735084]","[1.1425408754983313, -0.5184918703409778]","[-0.4272661226469572, 0.6142586615811607]",0.26990710181340916
4,11,"[0.8911731243838008, 0.19666528395993524]","[0.5131460905854898, 0.17924005478882832]","[0.6851048089771948, 0.4797347192009404]","[1.0891461927682125, -0.47340315649905856]","[1.126977035328513, -0.4746745250915954]","[-0.41213663081321195, 0.5661388704820103]",0.25354128709797524
4,12,"[0.8900839781910326, 0.19713868711643429]","[0.5131460905854898, 0.17924005478882832]","[0.6759913266076434, 0.4916377327098088]","[1.0881733732209813, -0.4242440978947847]","[1.139242548061186, -0.49430101741286225]","[-0.4281853031667784, 0.5889980911867491]",0.2617113483374011
4,13,"[0.8889958048178116, 0.19756293121432908]","[0.5131460905854898, 0.17924005478882832]","[0.6759884846055567, 0.491587910135069]","[1.1382318479868605, -0.4929741640235793]","[1.1351126048467024, -0.4925992092063302]","[-0.42601464042450976, 0.5880499578414797]",0.260239261513035
4,14,"[0.8878575729698247, 0.19805590537835266]","[0.5131460905854898, 0.17924005478882832]","[0.6762868174594656, 0.4870283390109734]","[1.131042364533535, -0.5038143897125019]","[1.1302503246873163, -0.48251867935966875]","[-0.4231415110207182, 0.5779448672652415]",0.25620325805217825
4,15,"[0.8867265306052912, 0.19855971976806516]","[0.5131460905854898, 0.17924005478882832]","[0.6904475361588208, 0.4777982940189953]","[1.2127869583554134, -0.5407120530332619]","[1.1004630700432494, -0.46399010369320054]","[-0.3925579888929407, 0.5584771485018603]",0.2447852571298472
4,16,"[0.8855137436469358, 0.19910043182109843]","[0.5131460905854898, 0.17924005478882832]","[0.6720030734704143, 0.5042110641673457]","[1.00939244211735, -0.31060184714319555]","[1.1290545124406308, -0.5094783841587049]","[-0.42702134035304296, 0.6102212646924946]",0.26386347744731214
