robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
3,1,"[0.6676232521200067, 0.45368456071578794]","[0.20033155121842627, 0.8577591891930944]","[0.715117288766554, 0.6374301468558063]","[0.9440822091324703, -0.7714001397266091]","[0.8490941358393758, -1.138891312006646]","[0.09498807329309455, 0.3674911722800368]",0.4140541506591955
3,2,"[0.6666791699108743, 0.45445596085551454]","[0.20033155121842627, 0.8577591891930944]","[0.7151096628718536, 0.6373917782009892]","[0.8473932626839973, -1.1375104654861015]","[0.8455203500551332, -1.1358909278970142]","[0.09686098592195869, 0.3658716346909494]",0.41236351877230126
3,3,"[0.6658317766481903, 0.45559347132100064]","[0.20033155121842627, 0.8577591891930944]","[0.715206351818302, 0.6377578885267488]","[0.8440143799715917, -1.1337701869939871]","[0.8421262155533268, -1.132227386714534]","[0.09874915034022358, 0.3643288344114962]",0.4104872757189626
3,4,"[0.6649877622682187, 0.45672724150799465]","[0.20033155121842627, 0.8577591891930944]","[0.7308213002965054, 0.6996387811529013]","[0.8755811388621078, -0.9945842152746861]","[0.8108120536486686, -1.2393046667310315]","[0.13166707605657346, 0.4858230792898134]",0.4337380812710365
3,5,"[0.6641121811293565, 0.45772182572326936]","[0.20033155121842627, 0.8577591891930944]","[0.7307897335376149, 0.699499595181182]","[0.8410808537440281, -1.1143160457598527]","[0.8075416654869956, -1.2352747119638927]","[0.1333551048165167, 0.48355553891582526]",0.43173451207174773
3,6,"[0.6632711002756125, 0.4588361417690292]","[0.20033155121842627, 0.8577591891930944]","[0.7055350558323787, 0.6415638391450972]","[0.7602484029047852, -1.3632324712564041]","[0.8498039781121933, -1.1267559501250526]","[0.08452791111353242, 0.36545539475213595]",0.40511071184227165
3,7,"[0.6625108518727078, 0.4601993742402856]","[0.20033155121842627, 0.8577591891930944]","[0.657036561188399, 0.6472262647388511]","[0.8232198545607063, -1.1097176320704836]","[0.9342123245403187, -1.1317680328030355]","[-0.010948581368617427, 0.37405378099713105]",0.40317163548384516
3,8,"[0.6616876320181471, 0.4613090918723561]","[0.20033155121842627, 0.8577591891930944]","[0.6528107909697601, 0.6346199436623833]","[0.9109658499487103, -1.1738380297530195]","[0.9386904754865381, -1.1048597278635255]","[-0.01775368209677386, 0.3466217035800544]",0.3971260176461661
3,9,"[0.6607766661681983, 0.4624829299021091]","[0.20033155121842627, 0.8577591891930944]","[0.6449604877578307, 0.6349087753199638]","[0.9167500138505985, -1.1123618936733517]","[0.9493593510382058, -1.1009190403341091]","[-0.031632356820735286, 0.34485169083570943]",0.3952357663409964
3,10,"[0.6598599161543477, 0.46359529179578246]","[0.20033155121842627, 0.8577591891930944]","[0.6491870612970352, 0.6551495658680047]","[0.977606164781268, -1.0114362666874088]","[0.9382678686150053, -1.1331254881246238]","[-0.021345709714625016, 0.3831085481444444]",0.39965775096364714
3,11,"[0.6588823099895664, 0.4646067280624699]","[0.20033155121842627, 0.8577591891930944]","[0.6534912470938705, 0.6559647070629998]","[0.9711382904706514, -1.0770788025037372]","[0.9268054307545329, -1.130749284462203]","[-0.010782125791391817, 0.38271595800105984]",0.3978199017803369
3,12,"[0.6579111716990957, 0.4656838068649736]","[0.20033155121842627, 0.8577591891930944]","[0.6359896709072038, 0.6266373809126398]","[0.8527946821169847, -1.2624951960858763]","[0.9546179423867444, -1.0738671979420404]","[-0.04384300158378385, 0.3219071480953323]",0.38685015918309335
3,13,"[0.6570583770169788, 0.4669463020610595]","[0.20033155121842627, 0.8577591891930944]","[0.6221130894547108, 0.6289621291764554]","[0.8923442446520141, -1.0952919245838384]","[0.9763551692091874, -1.0732542630717823]","[-0.069890575124536, 0.32403165423079183]",0.3860573773753238
3,14,"[0.6561660327723268, 0.4680415939856434]","[0.20033155121842627, 0.8577591891930944]","[0.6164891549701194, 0.6268357661118218]","[0.9500640488759898, -1.0891384306441647]","[0.9830873431517744, -1.065264700242023]","[-0.07935375560441482, 0.3175883442523568]",0.3837757379478245
3,15,"[0.6552159687234508, 0.46913073241628755]","[0.20033155121842627, 0.8577591891930944]","[0.6149754809087626, 0.6279896659066706]","[0.9918209703465372, -1.0576892685520836]","[0.9822017130764876, -1.063202993836303]","[-0.08048097562937628, 0.3177178669807661]",0.38212182255394717
3,16,"[0.6542241477531042, 0.47018842168483965]","[0.20033155121842627, 0.8577591891930944]","[0.6172857905064327, 0.6355056390669479]","[1.0114210590453427, -1.011246550268362]","[0.9742742361133646, -1.0727125263043042]","[-0.07387671449334299, 0.3306344347642165]",0.3820543911550709
3,17,"[0.6532127266940588, 0.471199668235108]","[0.20033155121842627, 0.8577591891930944]","[0.6178438486069451, 0.6338762286881665]","[0.9935444802390354, -1.060417955185983]","[0.9694263315080699, -1.065936850731478]","[-0.0707377561742275, 0.325353120906117]",0.3794727811156394
3,18,"[0.6522191822138198, 0.47226008619029397]","[0.20033155121842627, 0.8577591891930944]","[0.6091728121229042, 0.6151333544504654]","[0.9400402228683306, -1.1739655072948638]","[0.9812587281544352, -1.0281700888739094]","[-0.08609274018183122, 0.28574653652034276]",0.37285117414780483
3,19,"[0.6512791419909515, 0.47343405169758884]","[0.20033155121842627, 0.8577591891930944]","[0.5950320653066028, 0.6173268560099622]","[0.8929247867245248, -1.02799480216279]","[1.0031399195768782, -1.027657322753283]","[-0.11249415336869739, 0.28778560862474667]",0.37254152642605676
3,20,"[0.650386217204227, 0.47446204649975166]","[0.20033155121842627, 0.8577591891930944]","[0.5949284948039343, 0.617328106564764]","[0.9943328581587368, -1.0135771135614402]","[0.9999332322921282, -1.0237531935037076]","[-0.11091544480058535, 0.2857321201300247]",0.3706035450555663
3,21,"[0.6493918843460682, 0.4754756236133131]","[0.20033155121842627, 0.8577591891930944]","[0.5950431800277475, 0.6173642676690525]","[1.0278211450769348, -1.019866395774516]","[0.9959483340282612, -1.0199666904598934]","[-0.10869740863664146, 0.28377728811147884]",0.3685734593768506
3,22,"[0.6483640632009913, 0.4764954900090876]","[0.20033155121842627, 0.8577591891930944]","[0.595316029841616, 0.6202439834699973]","[1.0185350334957148, -0.992390803666811]","[0.9915514840120054, -1.0212746865976512]","[-0.10609606671875049, 0.28749698692181946]",0.36722509100290074
3,23,"[0.6473455281674956, 0.4774878808127544]","[0.20033155121842627, 0.8577591891930944]","[0.593683124217996, 0.6160277937398058]","[0.9956528108988993, -1.0481467470662158]","[0.9906202810072379, -1.0099144600293724]","[-0.10732480789899923, 0.27707982585410273]",0.3642934285294456
3,24,"[0.6463498753565967, 0.4785360275598206]","[0.20033155121842627, 0.8577591891930944]","[0.5892064189144667, 0.6078430631347582]","[0.9740085744656133, -1.0824113907336192]","[0.9948948698721749, -0.9911989873014352]","[-0.11428691288426007, 0.2586140711498752]",0.3607296674431568
3,25,"[0.6453758667821311, 0.4796184389505542]","[0.20033155121842627, 0.8577591891930944]","[0.5818973496995301, 0.6074978535579998]","[0.9332477323407495, -0.9908275545319851]","[1.0043499618760914, -0.9864644467784822]","[-0.126957034165202, 0.2557588292148911]",0.3593992699397718
3,26,"[0.6444426190497904, 0.48060926650508623]","[0.20033155121842627, 0.8577591891930944]","[0.5794423716693697, 0.6081249526856884]","[0.9840789093431225, -0.9644333248331031]","[1.0052225809474855, -0.9838280805011003]","[-0.1300004947608413, 0.25503137236120443]",0.3579134588973482
3,27,"[0.6434585401404472, 0.4815736998299193]","[0.20033155121842627, 0.8577591891930944]","[0.5807973639236308, 0.6078499150661074]","[1.0140789544723352, -0.9809657915687079]","[0.9990440950343115, -0.9796681661514887]","[-0.12532235243363288, 0.2525524304723762]",0.35576194570383435
3,28,"[0.6424444611859749, 0.482554665621488]","[0.20033155121842627, 0.8577591891930944]","[0.580519833274193, 0.6082881402983967]","[1.0199420854312875, -0.9735358750185985]","[0.9956901501763046, -0.9767293015616483]","[-0.12384925582356376, 0.2514669493538174]",0.3539214692452772
3,29,"[0.6414245191005435, 0.4835282014965066]","[0.20033155121842627, 0.8577591891930944]","[0.5798508681496455, 0.6068227923799039]","[1.007020927003829, -0.9900544955365562]","[0.9930185074758511, -0.9703922389832906]","[-0.12314730190179612, 0.24658918176679456]",0.35170542203669275
3,30,"[0.6404174981735398, 0.4845182559920432]","[0.20033155121842627, 0.8577591891930944]","[0.5747160816297333, 0.600340503940756]","[0.9532501418005502, -1.040550065183175]","[0.9984344436890786, -0.9549619127097855]","[-0.1314028330876129, 0.23164449589742564]",0.3489427572543508
3,31,"[0.6394642480317392, 0.48555880605722634]","[0.20033155121842627, 0.8577591891930944]","[0.5715816859393912, 0.6006911911693069]","[0.9710968454517552, -0.93914508369509]","[1.0004540053928521, -0.951639059473481]","[-0.135765124184696, 0.23026477022416114]",0.347447808121056
3,32,"[0.6384931511862875, 0.4864979511409214]","[0.20033155121842627, 0.8577591891930944]","[0.5708981305619693, 0.6003961362709525]","[1.0092439980218748, -0.9319527730031588]","[0.9979942370594952, -0.9475392093384017]","[-0.13519004124863643, 0.22779637026006205]",0.3456081896166334
3,33,"[0.6374839071882656, 0.4874299039139246]","[0.20033155121842627, 0.8577591891930944]","[0.5703505042676429, 0.600658960516815]","[0.9983766187919938, -0.940234311632723]","[0.9951448371967997, -0.9444708724435422]","[-0.1342668058412455, 0.2264581132057808]",0.3438409036075568
3,34,"[0.6364855305694737, 0.4883701382255573]","[0.20033155121842627, 0.8577591891930944]","[0.5699498405246203, 0.5998693567075991]","[1.006746586283728, -0.947380564498144]","[0.9920722007828309, -0.9394766952027493]","[-0.13307138008970676, 0.2229984369640836]",0.34185173107311745
3,35,"[0.6354787839831899, 0.4893175187900555]","[0.20033155121842627, 0.8577591891930944]","[0.5695225720402122, 0.5991318712568101]","[1.0025585154760064, -0.9481408997065119]","[0.9890156470268872, -0.9345491752462362]","[-0.13191242388595548, 0.21962870493350928]",0.33987085118361654
3,36,"[0.6344762254677139, 0.490265659689762]","[0.20033155121842627, 0.8577591891930944]","[0.5659840872495593, 0.5939030140126716]","[0.959761814967284, -1.003735163930128]","[0.9915751972912534, -0.9215342967879021]","[-0.13698427643630917, 0.20727470864581932]",0.3374217791937091
3,37,"[0.6335164636527466, 0.49126939485369214]","[0.20033155121842627, 0.8577591891930944]","[0.5639947430011436, 0.5935146515027725]","[0.9722358559455127, -0.925595529409079]","[0.9915089220415261, -0.917021050647149]","[-0.139043441303206, 0.2044905132981607]",0.3357225636503034
3,38,"[0.6325442277968011, 0.4921949903831012]","[0.20033155121842627, 0.8577591891930944]","[0.5638101618998738, 0.5943630054337676]","[1.0014697192399413, -0.8918311996663736]","[0.9881466717712188, -0.9150308247111858]","[-0.13746813179385464, 0.20433603010133283]",0.33409138884933975
3,39,"[0.6315427580775611, 0.49308682158276756]","[0.20033155121842627, 0.8577591891930944]","[0.5630223561240183, 0.5941008560425671]","[0.9870384733178627, -0.9116804656489477]","[0.9857591372346467, -0.9111699972482927]","[-0.13704080390708562, 0.20202806891959912]",0.3323380331969814
3,40,"[0.6305557196042433, 0.4939985020484165]","[0.20033155121842627, 0.8577591891930944]","[0.5624951206995314, 0.5933776924498746]","[0.9920003563277426, -0.9169105560363721]","[0.9829574148001153, -0.9064039170119803]","[-0.13612119780942367, 0.1987583808029162]",0.3304722943225416
3,41,"[0.6295637192479155, 0.4949154126044529]","[0.20033155121842627, 0.8577591891930944]","[0.5620599512195502, 0.5926880802496147]","[0.9917192334873117, -0.9138592927997954]","[0.9799711185100362, -0.9016783549385743]","[-0.13500753605673066, 0.1955453352903237]",0.3286004881932345
3,42,"[0.6285720000144283, 0.4958292718972527]","[0.20033155121842627, 0.8577591891930944]","[0.5594612176588091, 0.5891751830544787]","[0.9553580327122141, -0.9549981875915445]","[0.9808803058321185, -0.8918824746746902]","[-0.13822156471123836, 0.18669182231445203]",0.32652393044959666
3,43,"[0.6276166419817161, 0.4967842700848442]","[0.20033155121842627, 0.8577591891930944]","[0.5585620536514738, 0.5884746445447011]","[0.9772006105144483, -0.9004063431759963]","[0.9788684405210156, -0.8869925122442427]","[-0.1381091766604845, 0.1833807489197138]",0.32473353585804365
3,44,"[0.6266394413712016, 0.4976846764280202]","[0.20033155121842627, 0.8577591891930944]","[0.5586114194184384, 0.5892382406782464]","[0.9862917194381439, -0.8639351600277648]","[0.9750662198205245, -0.8849454411805553]","[-0.1360560439055265, 0.1831071285004523]",0.32310095215746976
