robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
4,1,"[0.6483439101757451, 0.8634945490563208]","[0.5131460905854898, 0.17924005478882832]","[0.48046680032395717, 0.732088055117762]","[0.23682021721015312, 1.3422276897472734]","[0.572574436913729, 1.605040677624391]","[-0.3357542197035759, -0.2628129878771177]",0.5273880149424935
4,2,"[0.6481070899585349, 0.8621523213665736]","[0.5131460905854898, 0.17924005478882832]","[0.46460714036200623, 0.6765990898231371]","[0.5367660391475959, 1.4821041021103292]","[0.6002219080198421, 1.6998203499336764]","[-0.3669998991930574, -0.371106463086873]",0.5458756451084512
4,3,"[0.6475703239193873, 0.8606702172644632]","[0.5131460905854898, 0.17924005478882832]","[0.4700432331503439, 0.6379947681968563]","[0.6222578251367604, 1.5382381675368915]","[0.5883972300520732, 1.7636761332729622]","[-0.35505418153808677, -0.4453508981352139]",0.5554071420559188
4,4,"[0.6469480660942505, 0.8591319790969264]","[0.5131460905854898, 0.17924005478882832]","[0.47883987122146243, 0.6122465379367902]","[0.6409533798747911, 1.6051967134427718]","[0.5701987017885399, 1.8041776427044414]","[-0.3362163897455761, -0.49377088232027244]",0.5604475050056157
4,5,"[0.6463071127143757, 0.8575267823834837]","[0.5131460905854898, 0.17924005478882832]","[0.48670234390220257, 0.5951422530609061]","[0.6316648030099878, 1.6661123410494685]","[0.5536106281196835, 1.8288656079699503]","[-0.31920953762434623, -0.5247690586451552]",0.5626921337553519
4,6,"[0.6456754479113657, 0.8558606700424342]","[0.5131460905854898, 0.17924005478882832]","[0.49284911747398, 0.583862906542377]","[0.6122860925673007, 1.7168659202275809]","[0.540146109439046, 1.8428372048073145]","[-0.3056526608747713, -0.5439955270001142]",0.5629842911009687
4,7,"[0.6450631618187984, 0.8541438041222066]","[0.5131460905854898, 0.17924005478882832]","[0.49741282265395925, 0.576502222844167]","[0.5908527018087928, 1.7567915984658398]","[0.5296047529633279, 1.8495623449672278]","[-0.2953006783296783, -0.5552831625560792]",0.5618941078260814
4,8,"[0.6444723091169896, 0.8523870125237407]","[0.5131460905854898, 0.17924005478882832]","[0.5007299566086032, 0.5717769944138797]","[0.5708802807439028, 1.7867675643722418]","[0.5213886715780952, 1.8513919480675747]","[-0.2874847050167728, -0.5612200362197219]",0.5598368639329867
4,9,"[0.6439014288362457, 0.8506002449593685]","[0.5131460905854898, 0.17924005478882832]","[0.5031293470133349, 0.5688194410666851]","[0.5536740395026761, 1.80818906073688]","[0.5149004237827512, 1.8499258273479104]","[-0.2815441636458216, -0.5635616077853667]",0.5571169438437403
4,10,"[0.643347754796743, 0.8487920558986316]","[0.5131460905854898, 0.17924005478882832]","[0.5048765269712125, 0.5670405200172566]","[0.5394511106033608, 1.8225418498996946]","[0.5096515385084612, 1.8462567668060816]","[-0.2769424556510609, -0.56350307176275]",0.5539547435698432
4,11,"[0.6428083036861396, 0.8469695140487319]","[0.5131460905854898, 0.17924005478882832]","[0.5061696490023655, 0.5660396970946635]","[0.5279386922267725, 1.831215565831326]","[0.5052740046320932, 1.8411325890371302]","[-0.27327730936754824, -0.5618596339081368]",0.5505074358765557
4,12,"[0.6422803649939128, 0.8451382984829006]","[0.5131460905854898, 0.17924005478882832]","[0.5071505713041015, 0.5655447647092151]","[0.5186881584968746, 1.83542777858065]","[0.5015021774585067, 1.8350648481807783]","[-0.27025958737962275, -0.5591870675473709]",0.546885476525477
4,13,"[0.641761676835416, 0.8433028707043199]","[0.5131460905854898, 0.17924005478882832]","[0.507918368380906, 0.5653712511154613]","[0.5112309208304815, 1.8362027167197843]","[0.4981491277179704, 1.8284025470909286]","[-0.26768661690901996, -0.5558632391777172]",0.5431654072548259
4,14,"[0.6412504459145855, 0.8414666679876001]","[0.5131460905854898, 0.17924005478882832]","[0.5085411353924466, 0.565394805217028]","[0.5051473600036884, 1.8343775607013548]","[0.49508546959804134, 1.8213825793845733]","[-0.2654186210442777, -0.5521437255411441]",0.5393995041445864
4,15,"[0.6407452985545817, 0.8396322904268987]","[0.5131460905854898, 0.17924005478882832]","[0.5090651647359834, 0.5655322940950621]","[0.5000902011033835, 1.8306217359686392]","[0.49222265681166094, 1.8141644646734465]","[-0.26336026763719667, -0.5481999926636731]",0.5356228818338253
4,16,"[0.6402452083534783, 0.8378016686909301]","[0.5131460905854898, 0.17924005478882832]","[0.509521683453942, 0.5657288124161521]","[0.49578565947504893, 1.8254610598852958]","[0.48950058035514243, 1.806854369098804]","[-0.26144704979907263, -0.5441457125495559]",0.5318586362180501
4,17,"[0.6397494226940033, 0.8359762076310447]","[0.5131460905854898, 0.17924005478882832]","[0.5099316409434137, 0.5659487334248793]","[0.4920250104372699, 1.8193022697915355]","[0.48687867136808816, 1.7995217592555308]","[-0.2596355635011791, -0.5400549484123309]",0.5281215221072982
4,18,"[0.6392573976835659, 0.8341569053612532]","[0.5131460905854898, 0.17924005478882832]","[0.5103090418802695, 0.5661695374372152]","[0.4886531078647361, 1.8124556477543403]","[0.48432965464208594, 1.792210963408118]","[-0.2578967116065929, -0.535974735848076]",0.5244205599897936
4,19,"[0.6387687445757012, 0.8323444497134989]","[0.5131460905854898, 0.17924005478882832]","[0.5106632340262628, 0.5663775560080342]","[0.4855569806627076, 1.805154752679052]","[0.48183522696941206, 1.7849491985191774]","[-0.25621102109887683, -0.5319337874109293]",0.520760871207884
4,20,"[0.6382831875950385, 0.8305392949608198]","[0.5131460905854898, 0.17924005478882832]","[0.5110004624435105, 0.5665650405258351]","[0.4826558238758515, 1.7975730091609796]","[0.4793830992918481, 1.7777521383269554]","[-0.2545654503030561, -0.5279485088699694]",0.5171449625104455
4,21,"[0.6378005317711627, 0.8287417219516588]","[0.5131460905854898, 0.17924005478882832]","[0.5113249166380418, 0.5667281477896992]","[0.47989277898162136, 1.7898372963448]","[0.47696498961096345, 1.7706277678171884]","[-0.2529512302662418, -0.5240271483239194]",0.5135736201961922
4,22,"[0.637320638992181, 0.826951884655314]","[0.5131460905854898, 0.17924005478882832]","[0.5116394310317213, 0.566865560866882]","[0.47722846122088336, 1.7820388656258077]","[0.4745752711422102, 1.763579042552149]","[-0.25136241592091957, -0.520172647576864]",0.5100465286915603
