robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
14,1,"[0.1750769746398837, 0.7544512877360658]","[0.7310642960616902, 0.6970527380671371]","[0.5390226821039543, 0.6702515820575028]","[-1.039185501350799, 0.0979571582021449]","[-1.7670769162789401, 0.266356569559271]","[0.7278914149281412, -0.1683994113571261]",0.4380079566619832
14,2,"[0.17715534564258528, 0.7542553734196615]","[0.7310642960616902, 0.6970527380671371]","[0.5476011753103983, 0.628676532193696]","[-1.7446569386896325, 0.1752343479125347]","[-1.7746203942402734, 0.3404471849117868]","[0.7408916593356261, -0.25115768245193104]",0.4477874091194058
14,3,"[0.18064465951996456, 0.7539049047238364]","[0.7310642960616902, 0.6970527380671371]","[0.5479349116525684, 0.6111457549420408]","[-1.7737924057023298, 0.2680404041401909]","[-1.7619617269221381, 0.37067080292063076]","[0.7345805042652076, -0.2855182995635912]",0.445948018886534
14,4,"[0.18419224433136921, 0.753368823915556]","[0.7310642960616902, 0.6970527380671371]","[0.5416316342107981, 0.6012429599855258]","[-1.7972638437510493, 0.3117721334711867]","[-1.7371350052436139, 0.3864587267708924]","[0.7148787797588577, -0.3042517278600605]",0.43805521881147014
14,5,"[0.1877867720188713, 0.7527452796486137]","[0.7310642960616902, 0.6970527380671371]","[0.5359542509843092, 0.5944309742903066]","[-1.7810772496308265, 0.3333786968990007]","[-1.713256510223426, 0.3963508328079061]","[0.6963349579308757, -0.3166286107166143]",0.42990773873910904
14,6,"[0.19134892651813296, 0.7520785222548158]","[0.7310642960616902, 0.6970527380671371]","[0.5313011930578457, 0.5893016338494717]","[-1.7579449304671537, 0.3471399915341455]","[-1.6913448188585976, 0.40304996750497674]","[0.6799045330794256, -0.3255537768106882]",0.42217799007898005
14,7,"[0.19486481637906727, 0.7513842422717475]","[0.7310642960616902, 0.6970527380671371]","[0.5276826793018435, 0.5852913866856504]","[-1.7331679247052614, 0.35778283171800546]","[-1.6714711126262431, 0.4076301484641956]","[0.6656357258455525, -0.3321857111721942]",0.4149809042625564
14,8,"[0.1983311522284778, 0.7506686766083115]","[0.7310642960616902, 0.6970527380671371]","[0.5249077912131461, 0.582108082083888]","[-1.7091267274348614, 0.3667540692440381]","[-1.6533042378388276, 0.41064094722631117]","[0.6531532779693366, -0.337121189048847]",0.4082377490453236
14,9,"[0.20174940568334754, 0.7499351684698234]","[0.7310642960616902, 0.6970527380671371]","[0.5228015989211046, 0.5795603658673996]","[-1.6863635352150974, 0.3744049338339782]","[-1.6365237285846481, 0.41243950548973574]","[0.642104386475514, -0.34074960520484776]",0.401862680351662
14,10,"[0.20512213275377772, 0.7491863586021554]","[0.7310642960616902, 0.6970527380671371]","[0.5212210021980643, 0.577507849566724]","[-1.6649726074020648, 0.38081816534436785]","[-1.6208622916155409, 0.41328855733381337]","[0.6321977388885732, -0.34335701807086294]",0.3957858786908226
14,11,"[0.20845207796858184, 0.7484247222714667]","[0.7310642960616902, 0.6970527380671371]","[0.5200543374080088, 0.5758427068014068]","[-1.6448945215204258, 0.3860453052845507]","[-1.6061085031771851, 0.4133915962547671]","[0.6232045188788539, -0.3451640309401198]",0.38995507939760604
