robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
13,1,"[0.25754119242032897, 0.3537742035823148]","[0.9451187143293178, 0.7206962246383404]","[0.27592464804945716, 0.3499480101474501]","[-1.3714783526921521, -0.7346092807990241]","[-1.4082452639504084, -0.7269568939292946]","[0.036766911258256374, -0.007652386869729466]",0.6077119502477066
13,2,"[0.2602841491257133, 0.35524342214391286]","[0.9451187143293178, 0.7206962246383404]","[0.2932847946690818, 0.36448947623056277]","[-1.3703528067234345, -0.6953066081024858]","[-1.4290702923852723, -0.7475485023448248]","[0.06600129108673702, 0.018492108173299826]",0.6036112114588483
13,3,"[0.26302485473916015, 0.35663403536011784]","[0.9451187143293178, 0.7206962246383404]","[0.3094371356236715, 0.37906916230023]","[-1.366509671202359, -0.689238941938257]","[-1.4477298247724357, -0.768507607048647]","[0.09282456176902265, 0.044870253880224364]",0.6001850022165997
13,4,"[0.26575787408156487, 0.35801251324399436]","[0.9451187143293178, 0.7206962246383404]","[0.3245865773327656, 0.39283704784772044]","[-1.3637277618999981, -0.6888308829428298]","[-1.4646133463476672, -0.788051585075399]","[0.11765740650240142, 0.06964906920745217]",0.5972768338558357
13,5,"[0.26848532960536486, 0.35939017500988]","[0.9451187143293178, 0.7206962246383404]","[0.33881433504668323, 0.405743212873519]","[-1.3622987586052986, -0.6903175947361745]","[-1.479858979242279, -0.8060475674114709]","[0.14065801088263674, 0.09270607572727796]",0.5947600946341141
13,6,"[0.27120992712257547, 0.36077081019935237]","[0.9451187143293178, 0.7206962246383404]","[0.35218266839786005, 0.41783128372408385]","[-1.3620800024647903, -0.6930512718615408]","[-1.4935685087089972, -0.8225596812224927]","[0.16194548255056918, 0.11412094704946296]",0.5925305916551904
13,7,"[0.27393408712750505, 0.36215691274307543]","[0.9451187143293178, 0.7206962246383404]","[0.3647478420405374, 0.4291531833299095]","[-1.36289198813253, -0.6967938947205148]","[-1.5058340132470835, -0.8376719108468311]","[0.18162750982606468, 0.1339925411736681]",0.5905013164849201
13,8,"[0.2766598711037701, 0.3635505005325165]","[0.9451187143293178, 0.7206962246383404]","[0.37656201669442163, 0.4397586633853644]","[-1.3645668759010645, -0.7013747469352292]","[-1.5167415485142681, -0.8514661413467741]","[0.19980429118130305, 0.15241632570569585]",0.5885996038346304
13,9,"[0.2793890048555722, 0.36495325002638695]","[0.9451187143293178, 0.7206962246383404]","[0.38767372907086967, 0.44969421944593746]","[-1.3669531708797318, -0.7066459401237885]","[-1.5263719225350265, -0.8640196941790977]","[0.2165694484305949, 0.169481938839101]",0.5867650621186521
13,10,"[0.2821229111973317, 0.36636654190663454]","[0.9451187143293178, 0.7206962246383404]","[0.39812817624322633, 0.4590031695440691]","[-1.3699150031088294, -0.7124755559818726]","[-1.5348010833465826, -0.8754052952107939]","[0.2320105300917893, 0.18527325527486915]",0.5849478487039432
13,11,"[0.2848627412035493, 0.36779149301859826]","[0.9451187143293178, 0.7206962246383404]","[0.4079674587911167, 0.46772586326274074]","[-1.3733308361752576, -0.7187456263382143]","[-1.542100437909158, -0.8856913296789407]","[0.24620943517513472, 0.19986874048828496]",0.5831071845114248
