robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
12,1,"[0.545572768442025, 0.5661245063767308]","[0.7555875919023212, 0.9542547028880555]","[0.5169378388003194, 0.5122626317647094]","[-0.4257566328489335, -0.7870327679450535]","[-0.3684867735655224, -0.6793090187210107]","[-0.057269859283411106, -0.10772374922404282]",0.19810023017605477
12,2,"[0.5464242817077228, 0.567698571912621]","[0.7555875919023212, 0.9542547028880555]","[0.5197014981215378, 0.5198750589927968]","[-0.36277612897456213, -0.6611566261073965]","[-0.3702256099340635, -0.6870299386951856]","[-0.053445567172370145, -0.09564702583964824]",0.19587600872178704
12,3,"[0.547149833965672, 0.5690208851648357]","[0.7555875919023212, 0.9542547028880555]","[0.5155126715077021, 0.5224390679749813]","[-0.389663336523144, -0.6750168365937385]","[-0.3599286234489526, -0.6866203645047015]","[-0.06327432491593976, -0.09316363437970887]",0.19470509141825496
12,4,"[0.5479291606387182, 0.5703709188380232]","[0.7555875919023212, 0.9542547028880555]","[0.5080236978337324, 0.5236265389740279]","[-0.41088983431416687, -0.6796912933196161]","[-0.34348702947823134, -0.6836276843448732]","[-0.07981092560997172, -0.09348875972799053]",0.193888518440927
12,5,"[0.5487509403073465, 0.5717303014246624]","[0.7555875919023212, 0.9542547028880555]","[0.4997197168720565, 0.5238282885725718]","[-0.4181101372368951, -0.682643886337993]","[-0.32541710100642735, -0.678825179793023]","[-0.09806244687057997, -0.09580402570418123]",0.19333511549410692
12,6,"[0.5495871605818203, 0.5730955891973384]","[0.7555875919023212, 0.9542547028880555]","[0.4917181903730058, 0.5234434015696219]","[-0.4152146280106944, -0.6836786132931589]","[-0.3078367162651355, -0.6729442896515445]","[-0.11573794041762908, -0.09930437525543301]",0.19295118935804734
12,7,"[0.5504175898378417, 0.5744629464239247]","[0.7555875919023212, 0.9542547028880555]","[0.48450564396293627, 0.5227577622557514]","[-0.40551817204127727, -0.6824252075736292]","[-0.2916985015541291, -0.6665141814255496]","[-0.1318238917498109, -0.10341036833634654]",0.19265253763624118
12,8,"[0.5512286261819243, 0.5758277968390719]","[0.7555875919023212, 0.9542547028880555]","[0.47825716847473504, 0.5219620673396531]","[-0.39151033903408344, -0.6790163724320419]","[-0.2773693075678533, -0.6598954989990132]","[-0.14594291541437843, -0.10773145899883763]",0.1923732255010916
12,9,"[0.5520116468599924, 0.577185829583936]","[0.7555875919023212, 0.9542547028880555]","[0.4729919525260179, 0.5211726106524242]","[-0.37506631516590794, -0.673887899864969]","[-0.2649164402835035, -0.6533139525315175]","[-0.15803938866794898, -0.1120264378630238]",0.19206753412364916
12,10,"[0.5527617794903242, 0.5785336053836659]","[0.7555875919023212, 0.9542547028880555]","[0.46865341963146806, 0.5204540302568321]","[-0.3575600832291397, -0.667538311055746]","[-0.2542565770780527, -0.6468989597804782]","[-0.16821671971771235, -0.11615915025366763]",0.1917073612110439
12,11,"[0.5534768996567825, 0.5798686820057775]","[0.7555875919023212, 0.9542547028880555]","[0.46515197796633867, 0.5198377629858738]","[-0.3399548388571798, -0.660408922136091]","[-0.24523652544827848, -0.6407163875287295]","[-0.17664984338088763, -0.1200618380398073]",0.19127812727903387
12,12,"[0.5541568093344968, 0.5811894998500496]","[0.7555875919023212, 0.9542547028880555]","[0.4623878552744207, 0.5193351162592579]","[-0.3228915556599726, -0.6528458735942233]","[-0.2376774478275116, -0.6347925156125865]","[-0.18353790812015225, -0.12370876718158352]",0.19077476101248408
12,13,"[0.5548025924458168, 0.5824951915972381]","[0.7555875919023212, 0.9542547028880555]","[0.46026293840476756, 0.5189458564127932]","[-0.3067697793933006, -0.6451013921778657]","[-0.23139862163912026, -0.6291302192496341]","[-0.18907930808209839, -0.12709867036888967]",0.19019838801166344
12,14,"[0.5554161320046034, 0.5837853943815938]","[0.7555875919023212, 0.9542547028880555]","[0.45868648144698854, 0.518663589306666]","[-0.2918150408037171, -0.6373494730883135]","[-0.22622954879172885, -0.6237193678780533]","[-0.1934593011152297, -0.13024361014985564]",0.18955384921673316
12,15,"[0.5559997620862108, 0.5850600933277704]","[0.7555875919023212, 0.9542547028880555]","[0.4575774243211504, 0.5184790113643497]","[-0.27813161151525556, -0.6297042346937084]","[-0.2220154516551119, -0.6185432715864128]","[-0.19684467553012086, -0.13316216392684144]",0.1888479588809794
12,16,"[0.5565560253092413, 0.5863195017971579]","[0.7555875919023212, 0.9542547028880555]","[0.4568648855306572, 0.5183818063370033]","[-0.26574202774703737, -0.6222362634136891]","[-0.21861908158470827, -0.6135825503535169]","[-0.19938227955716825, -0.1358753909203092]",0.18808834513560574
12,17,"[0.5570875093647354, 0.5875639743239852]","[0.7555875919023212, 0.9542547028880555]","[0.4564877199872348, 0.5183617050869206]","[-0.2546158008767526, -0.6149856179803265]","[-0.2159205441956705, -0.6088173725014242]","[-0.20119957875500116, -0.13840453847412926]",0.18728271770359806
12,18,"[0.5575967409664889, 0.5887939455599459]","[0.7555875919023212, 0.9542547028880555]","[0.45639364433711854, 0.5184090397328873]","[-0.24468978455317342, -0.6079715690565404]","[-0.21381612793879778, -0.6042286841675136]","[-0.20240619325874076, -0.14076981165411717]",0.18643843376322214
12,19,"[0.5580861205355953, 0.590009888698059]","[0.7555875919023212, 0.9542547028880555]","[0.4565382074191884, 0.5185149991557624]","[-0.23588233024086577, -0.6011996286510294]","[-0.21221669912391944, -0.5997988272038589]","[-0.20309582623281375, -0.14298977908459332]",0.18556226395639294
12,20,"[0.558557885196077, 0.5912122879553611]","[0.7555875919023212, 0.9542547028880555]","[0.45688375383905583, 0.5186717129495411]","[-0.22810292750324676, -0.5946664982704163]","[-0.21104597696985036, -0.5955117948549128]","[-0.20334826271404227, -0.14508115001164001]",0.1846602879733531
12,21,"[0.5590140910510835, 0.5924016209519019]","[0.7555875919023212, 0.9542547028880555]","[0.4573984545056829, 0.518872240721151]","[-0.22125861806121877, -0.58836348748737]","[-0.2102388559207544, -0.5913532794569557]","[-0.20323127309080113, -0.14705876046150168]",0.183737870756485
