robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
5,1,"[0.9412392345915409, 0.9656916738622313]","[0.7504645765974756, 0.7929782198838581]","[0.6363291304338669, 0.8562349327491808]","[0.3205672951565959, 0.3235355597341364]","[0.930387503471944, 0.5424490419602374]","[-0.6098202083153481, -0.21891348222610096]",0.16068076213117194
5,2,"[0.9405981000012277, 0.965044602742763]","[0.7504645765974756, 0.7929782198838581]","[0.5752574843576366, 0.7645579650772031]","[0.7945867365040754, 0.34118342964114995]","[1.0378801549659682, 0.7050087135158178]","[-0.7306812312871822, -0.4009732753311199]",0.22205938842122414
5,3,"[0.9390089265282195, 0.9643622358834808]","[0.7504645765974756, 0.7929782198838581]","[0.5497700883918702, 0.7214544011648066]","[0.9314441445407688, 0.5255111127251835]","[1.0777186085069168, 0.7800021344928589]","[-0.7784776762726986, -0.48581566943734833]",0.2543814331842706
5,4,"[0.937146038239138, 0.9633112136580304]","[0.7504645765974756, 0.7929782198838581]","[0.5361048418458354, 0.697023231082891]","[0.9915579235011676, 0.6333457388349104]","[1.0952370767912696, 0.8199843561835956]","[-0.8020823927866052, -0.5325759651502788]",0.2724322946703981
5,5,"[0.9351629223921357, 0.9620445221803606]","[0.7504645765974756, 0.7929782198838581]","[0.5279535773966025, 0.6810530471070015]","[1.0261543030365807, 0.6944866901894213]","[1.1023735125812801, 0.8439172597250515]","[-0.8144186899910664, -0.5619829501467182]",0.28299498725553024
5,6,"[0.9331106137860625, 0.9606555487999818]","[0.7504645765974756, 0.7929782198838581]","[0.5229825248763732, 0.6692989700418389]","[1.0490765255686896, 0.7298252897462622]","[1.1035226344146147, 0.8597964995969047]","[-0.8202561778193787, -0.5827131575162858]",0.28925959630166814
5,7,"[0.9310124607349252, 0.9591958982204893]","[0.7504645765974756, 0.7929782198838581]","[0.5200197359406159, 0.6599218317412437]","[1.06458137862295, 0.7515287655533134]","[1.100882672904656, 0.8711286763359046]","[-0.8219854495886185, -0.5985481329584912]",0.29285784308891694
5,8,"[0.9288832979776792, 0.9576928406893828]","[0.7504645765974756, 0.7929782198838581]","[0.5183797743896448, 0.6520547088342715]","[1.0745850528964658, 0.7659989535775994]","[1.0957437852188692, 0.8795778789502496]","[-0.8210070471760689, -0.6112762637102225]",0.2946991759159215
5,9,"[0.9267341278718862, 0.9561608427822276]","[0.7504645765974756, 0.7929782198838581]","[0.5176291949088214, 0.645251140629172]","[1.080292868542875, 0.7765328077783026]","[1.088927981882338, 0.886002709672239]","[-0.8182098659261297, -0.6218194043061112]",0.2953280432833275
5,10,"[0.9245735421348005, 0.954607777166671]","[0.7504645765974756, 0.7929782198838581]","[0.5174820069056321, 0.6392582727402384]","[1.0825979755501909, 0.7848194328022218]","[1.080982694487153, 0.8908882225332045]","[-0.8141830704583368, -0.6306990088528652]",0.29508999086542964
5,11,"[0.9224083461837, 0.9530381383010665]","[0.7504645765974756, 0.7929782198838581]","[0.5177445081879963, 0.6339185319160482]","[1.0821996597251775, 0.7917262964878788]","[1.0722824475647157, 0.89453512832745]","[-0.8093276759914074, -0.6382392127700367]",0.294214967847912
5,12,"[0.9202439468642497, 0.9514546857080908]","[0.7504645765974756, 0.7929782198838581]","[0.5182831553486887, 0.6291246802489955]","[1.0796543125371219, 0.7977012318059845]","[1.063088165261558, 0.897146941474837]","[-0.8039215830311219, -0.6446600109181906]",0.2928620240898906
5,13,"[0.9180846382391754, 0.9498592832444788]","[0.7504645765974756, 0.7929782198838581]","[0.5190047130995613, 0.6247981406908446]","[1.07540675277437, 0.8029766968156573]","[1.0535839885347051, 0.8988721833177828]","[-0.7981598502792282, -0.6501222851072683]",0.291144732848869
5,14,"[0.9159338247336267, 0.9482533298508474]","[0.7504645765974756, 0.7929782198838581]","[0.5198435097734316, 0.6208779488592749]","[1.0698132708196542, 0.807673960617616]","[1.0439010632006536, 0.8998259057188092]","[-0.7921806299203902, -0.654750761983145]",0.2891463917701832
5,15,"[0.9137941981919874, 0.9466379819296122]","[0.7504645765974756, 0.7929782198838581]","[0.5207530267579401, 0.6173147848985304]","[1.0631596410304556, 0.811856763872542]","[1.0341333517703086, 0.9001012787474556]","[-0.7860823428680945, -0.6586463940621636]",0.28692950525268307
5,16,"[0.9116678789099265, 0.9450142684018672]","[0.7504645765974756, 0.7929782198838581]","[0.521700228535029, 0.6140675493546192]","[1.0556754238905672, 0.8155593047957739]","[1.0243483752997176, 0.8997761913210647]","[-0.7799353007497951, -0.6618934380944961]",0.2845419139937607
5,17,"[0.9095565280621454, 0.9433831497922757]","[0.7504645765974756, 0.7929782198838581]","[0.5226616733407292, 0.6111012750760739]","[1.047545346639901, 0.8188010163890106]","[1.0145946414278888, 0.8989172343059983]","[-0.7737897094428323, -0.6645637494324035]",0.28202087754893024
5,18,"[0.9074614373688655, 0.9417455477594976]","[0.7504645765974756, 0.7929782198838581]","[0.523620805935605, 0.6083857757442916]","[1.0389183468070797, 0.8215944364626235]","[1.004906858122649, 0.8975822453786497]","[-0.767681262866521, -0.6667195440304119]",0.2793958632787321
5,19,"[0.9053836006752514, 0.9401023588865723]","[0.7504645765974756, 0.7929782198838581]","[0.5245660493343827, 0.6058947211099915]","[1.029914746105008, 0.8239493984855393]","[0.9953096405691153, 0.895822026003274]","[-0.7616351026817374, -0.6684152755531616]",0.2766904936002121
5,20,"[0.9033237711830413, 0.9384544600896013]","[0.7504645765974756, 0.7929782198838581]","[0.5254894448764956, 0.6036049718921769]","[1.0206319350680761, 0.8258752261602309]","[0.9858201765229138, 0.8936815591668504]","[-0.7556686526130914, -0.6696989763948489]",0.27392393192718545
5,21,"[0.9012825073129052, 0.9368027096372809]","[0.7504645765974756, 0.7929782198838581]","[0.5263856737137189, 0.6014960804824159]","[1.0111488771504937, 0.8273818275111621]","[0.9764501619093945, 0.8912009119856025]","[-0.7497936671983725, -0.67061325830973]",0.2711118863362212
5,22,"[0.8992602095586042, 0.9351479459822585]","[0.7504645765974756, 0.7929782198838581]","[0.5272513467837391, 0.599549902499111]","[1.0015296807867688, 0.8284801762748999]","[0.9672072189170144, 0.8884159304664663]","[-0.7440177255497302, -0.671196086966295]",0.26826734810268554
5,23,"[0.8972571501970307, 0.9334909856297087]","[0.7504645765974756, 0.7929782198838581]","[0.5280844858073622, 0.5977502856878187]","[0.9918264376493002, 0.8291824523989972]","[0.9580959431005135, 0.885358791387103]","[-0.7383453287793369, -0.6714813998837799]",0.26540114335856235
5,24,"[0.8952734973217321, 0.9318326207249107]","[0.7504645765974756, 0.7929782198838581]","[0.5288841415169445, 0.5960828149264821]","[0.9820814839820489, 0.8295019963553288]","[0.9491186818971308, 0.8820584521192767]","[-0.7327787116095752, -0.6714996115968572]",0.2625223510809085
5,25,"[0.893309334353768, 0.9301736167322]","[0.7504645765974756, 0.7929782198838581]","[0.5296501113409552, 0.5945345993541253]","[0.9723292083765326, 0.8294531668276295]","[0.940276116935648, 0.8785410249772183]","[-0.7273184460256257, -0.6712780347561493]",0.25963862415674993
5,26,"[0.891364675937015, 0.9285147103985447]","[0.7504645765974756, 0.7929782198838581]","[0.5303827297447672, 0.5930940920865235]","[0.962597502563088, 0.8290511541356147]","[0.9315677018251248, 0.8748300939910114]","[-0.7219638923844955, -0.6708412366240424]",0.25675643925393515
5,27,"[0.8894394809318887, 0.9268566080902735]","[0.7504645765974756, 0.7929782198838581]","[0.5310827120340674, 0.5917509357930252]","[0.9529089306050204, 0.8283117799937646]","[0.9229919926849047, 0.8709469865478777]","[-0.7167135377956426, -0.6702113445944966]",0.2538812937421165
5,28,"[0.8875336630706787, 0.925199984530286]","[0.7504645765974756, 0.7929782198838581]","[0.5317510377542461, 0.5904958292414411]","[0.9432816752752381, 0.8272513012001685]","[0.9145468985159849, 0.8669110088127766]","[-0.7115652506328651, -0.6694083105776898]",0.25101786275301885
5,29,"[0.8856470997201282, 0.9235454819278857]","[0.7504645765974756, 0.7929782198838581]","[0.532388863586176, 0.589320411148548]","[0.9337303074564024, 0.8258862269621092]","[0.9062298712864194, 0.8627396514908628]","[-0.7065164722679045, -0.6684501415586752]",0.24817012587601228
5,30,"[0.8837796391052154, 0.9218937094739614]","[0.7504645765974756, 0.7929782198838581]","[0.5329974583269951, 0.5882171585235565]","[0.9242664143677317, 0.8242331547396747]","[0.8980380504162763, 0.8584487708909356]","[-0.7015643615564406, -0.6673531019008099]",0.24534147045281263
5,31,"[0.88193110627648, 0.9202452431644821]","[0.7504645765974756, 0.7929782198838581]","[0.5335781544792082, 0.5871792972945948]","[0.9148991146521834, 0.822308626540077]","[0.889968372593098, 0.8540527491270451]","[-0.6967059035945435, -0.6661318917397745]",0.24253477663221895
5,32,"[0.8801013080471756, 0.9186006259114019]","[0.7504645765974756, 0.7929782198838581]","[0.534132312375001, 0.5862007234466993]","[0.9056354823486131, 0.820129005817043]","[0.8820176551093142, 0.8495646364915524]","[-0.6919379913443491, -0.6647998049294053]",0.23975248804957194
5,33,"[0.8782900370824783, 0.9169603678997679]","[0.7504645765974756, 0.7929782198838581]","[0.5346612937886192, 0.5852759332264825]","[0.8964808971228962, 0.8177103740898896]","[0.8741826588989521, 0.8449962784437333]","[-0.6872574865877183, -0.6633688693465707]",0.23699667105487043
5,34,"[0.8764970752882325, 0.9153249471515881]","[0.7504645765974756, 0.7929782198838581]","[0.5351664427449174, 0.584399961217563]","[0.8874393345262991, 0.8150684458256809]","[0.866460135959481, 0.8403584292167051]","[-0.6826612650866302, -0.6618499718680502]",0.23426906472442877
5,35,"[0.8747221966191799, 0.9136948102599367]","[0.7504645765974756, 0.7929782198838581]","[0.5356490717918778, 0.5835683252844504]","[0.8785136072460544, 0.8122184998533666]","[0.8588468647325526, 0.8356608537080327]","[-0.6781462496546042, -0.6602529699509727]",0.23157112338166333
5,36,"[0.8729651694046878, 0.91207037326023]","[0.7504645765974756, 0.7929782198838581]","[0.5361104524222466, 0.5827769775360269]","[0.8697055661257483, 0.8091753254900882]","[0.8513396761828187, 0.8309124190563095]","[-0.6737094339648824, -0.6585867914484063]",0.22890405297274716
5,37,"[0.8712257582724363, 0.9104520226092498]","[0.7504645765974756, 0.7929782198838581]","[0.536551808642483, 0.582022260583432]","[0.8610162680192242, 0.8059531815848665]","[0.8439354726838375, 0.8261211770972557]","[-0.6693478992599067, -0.6568595240516357]",0.22626884235702027
5,38,"[0.8695037257363979, 0.9088401162460801]","[0.7504645765974756, 0.7929782198838581]","[0.5369743129232675, 0.5813008684683112]","[0.8524461161923808, 0.8025657667766184]","[0.8366312413414795, 0.821294438724428]","[-0.6650588256262608, -0.6550784955555378]",0.22366629035497365
5,39,"[0.8677988335040131, 0.9072349847125268]","[0.7504645765974756, 0.7929782198838581]","[0.5373790839447345, 0.5806098117212001]","[0.8439949779195922, 0.7990261993913802]","[0.8294240630197764, 0.8164388410417257]","[-0.6608394991185571, -0.6532503459826535]",0.22109702923031055
5,40,"[0.8661108435481739, 0.9056369323137441]","[0.7504645765974756, 0.7929782198838581]","[0.537767185685803, 0.579946386080032]","[0.8356622830721737, 0.7953470055480625]","[0.8223111180536644, 0.8115604080804538]","[-0.6566873157247419, -0.6513810924674241]",0.21856154515400186
5,41,"[0.8644395189820295, 0.904046238302648]","[0.7504645765974756, 0.7929782198838581]","[0.5381396275111192, 0.5793081444581432]","[0.8274471068170536, 0.7915401141905934]","[0.8152896894167465, 0.8066646057576884]","[-0.6525997829418206, -0.6494761876890096]",0.21606019609796026
5,42,"[0.8627846247683955, 0.9024631580742668]","[0.7504645765974756, 0.7929782198838581]","[0.5384973649890509, 0.5786928718017796]","[0.8193482389975922, 0.7876168579092826]","[0.8083571639446601, 0.8017563916712943]","[-0.6485745195586892, -0.6475405725449743]",0.21359322752702334
5,43,"[0.8611459282904003, 0.9008879243584482]","[0.7504645765974756, 0.7929782198838581]","[0.53884130123569, 0.5780985625205709]","[0.8113642423268485, 0.7835879785511831]","[0.801511032084328, 0.7968402602573594]","[-0.6446092541094206, -0.6455787236757546]",0.21116078619528827
5,44,"[0.8595231998057465, 0.8993207484013459]","[0.7504645765974756, 0.7929782198838581]","[0.5391722886273442, 0.5775234002119539]","[0.8034935011646772, 0.7794636367458002]","[0.7947488865376662, 0.7919202837758812]","[-0.6407018223568046, -0.643594696378784]",0.208762932302678
5,45,"[0.8579162128034172, 0.8977618211278543]","[0.7504645765974756, 0.7929782198838581]","[0.5394911307607607, 0.5769657394330756]","[0.7957342623568279, 0.775253424587608]","[0.7880684200886651, 0.7870001495385941]","[-0.636850164085313, -0.6415921633895574]",0.20639965022713094
5,46,"[0.8563247442787035, 0.8962113142786791]","[0.7504645765974756, 0.7929782198838581]","[0.5397985845688427, 0.5764240893020494]","[0.7880846693735428, 0.7709663808203814]","[0.7814674228402055, 0.7820831937475754]","[-0.6330523194197217, -0.6395744499532594]",0.2040708580148611
5,47,"[0.8547485749399565, 0.8946693815170383]","[0.7504645765974756, 0.7929782198838581]","[0.5400953625217665, 0.5758970987352131]","[0.7805427907866853, 0.7666110079606304]","[0.7749437790377038, 0.777172432273646]","[-0.62930642483638, -0.6375445655636505]",0.20177641578412045
5,48,"[0.8531874893583831, 0.8931361595011171]","[0.7504645765974756, 0.7929782198838581]","[0.5403821348606107, 0.5753835431487521]","[0.7731066439600578, 0.762195290879128]","[0.7684954636178053, 0.7722705886687753]","[-0.6256107089955447, -0.6355052327047301]",0.19951613317558484
5,49,"[0.8516412760704629, 0.8916117689193589]","[0.7504645765974756, 0.7929782198838581]","[0.5406595318239953, 0.5748823124721333]","[0.7657742146908995, 0.7577267164314496]","[0.7621205385896165, 0.7673801196760077]","[-0.6219634884929353, -0.6334589128944512]",0.1972897759639231
5,50,"[0.8501097276410812, 0.890096315486496]","[0.7504645765974756, 0.7929782198838581]","[0.5409281458386201, 0.574392400337598]","[0.7585434734264741, 0.7532122937914665]","[0.7558171493316411, 0.7625032384732925]","[-0.618363163604922, -0.6314078302977961]",0.19509707192957915
5,51,"[0.8485926406942282, 0.8885898908989132]","[0.7504645765974756, 0.7929782198838581]","[0.5411885336526676, 0.5739128943247882]","[0.7514123885841314, 0.7486585751967579]","[0.7495835208683145, 0.7576419358635351]","[-0.6148082140831213, -0.6293539931482499]",0.19293771607670557
5,52,"[0.84708981591706, 0.8870925737485197]","[0.7504645765974756, 0.7929782198838581]","[0.5414412183972844, 0.5734429671526842]","[0.7443789374229607, 0.7440716768627678]","[0.743417954174765, 0.7527979996018271]","[-0.6112971950395512, -0.627299213191671]",0.19081137527210504
5,53,"[0.8456010580422141, 0.8856044303947942]","[0.7504645765974756, 0.7929782198838581]","[0.5416866915661854, 0.5729818687226261]","[0.7374411148475405, 0.7394572998640198]","[0.7373188225463286, 0.7479730320317748]","[-0.6078287329520573, -0.6252451233443361]",0.18871769237059624
5,54,"[0.844126175812519, 0.8841255157950662]","[0.7504645765974756, 0.7929782198838581]","[0.5419254149071384, 0.5725289189264677]","[0.7305969404671764, 0.7348207508165866]","[0.731284568059772, 0.7431684661858933]","[-0.6044015218107612, -0.6231931937371968]",0.18665628988413932
5,55,"[0.8426649819315847, 0.882655874293433]","[0.7504645765974756, 0.7929782198838581]","[0.5421578222219254, 0.5720835011430316]","[0.7238444641856616, 0.7301669622269334]","[0.7253136981456049, 0.7383855804898721]","[-0.6010143194193185, -0.6211447463008026]",0.18462677324511206
5,56,"[0.8412172930032134, 0.8811955403689791]","[0.7504645765974756, 0.7929782198838581]","[0.5423843210735321, 0.5716450563541278]","[0.7171817705555878, 0.7255005123988157]","[0.7194047822849019, 0.7336255121969744]","[-0.5976659438593626, -0.6191009680297026]",0.1826287337081338
5,57,"[0.8397829294621022, 0.8797445393441814]","[0.7504645765974756, 0.7929782198838581]","[0.5426052944009315, 0.571213077818604]","[0.7106069820963714, 0.7208256448126986]","[0.7135564488393605, 0.728889269666686]","[-0.5943552701223414, -0.6170629230511548]",0.18066175092963413
5,58,"[0.8383617154979095, 0.878302888054556]","[0.7504645765974756, 0.7929782198838581]","[0.5428211020430254, 0.5707871062492968]","[0.7041182617454962, 0.7161462869115854]","[0.7077673820196594, 0.7241777435908624]","[-0.5910812269097683, -0.6150315636105184]",0.17872539525985198
5,59,"[0.8369534789744185, 0.8768705954807329]","[0.7504645765974756, 0.7929782198838581]","[0.5430320821741749, 0.5703667254434653]","[0.6977138145871997, 0.7114660682436981]","[0.7020363189943245, 0.7194917172608312]","[-0.5878427936004873, -0.6130077400745351]",0.1768192297780011
5,60,"[0.8355580513452441, 0.8754476633442455]","[0.7504645765974756, 0.7929782198838581]","[0.5432385526543612, 0.5699515583223698]","[0.6913918889812515, 0.7067883379264578]","[0.6963620471391263, 0.7148318759601512]","[-0.5846389973817658, -0.6109922100437515]",0.1749428120978986
5,61,"[0.8341752675672816, 0.8740340866683926]","[0.7504645765974756, 0.7929782198838581]","[0.5434408122974334, 0.5695412633402008]","[0.685150777196067, 0.702116181408049]","[0.6907434014253387, 0.710198815559814]","[-0.5814689105396964, -0.6089856466563834]",0.17309569596832045
5,62,"[0.8328049660128894, 0.8726298543055765]","[0.7504645765974756, 0.7929782198838581]","[0.543639142061155, 0.569135531226613]","[0.6789888156346565, 0.6974524365127657]","[0.6851792619439497, 0.7055930503855712]","[-0.5783316479034688, -0.606988646157927]",0.17127743268969245
