robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
10,1,"[0.9449452491420745, 0.48397576650758306]","[0.6101967643848941, 0.06150028342531899]","[0.58565276726145, 0.49399586034324683]","[0.6019116524443425, 0.8436931077219604]","[1.3162234368994847, 0.8269147972603333]","[-0.7185849637612489, 0.020040187671327536]",0.4068144226875936
10,2,"[0.9443433374896301, 0.4831320733998611]","[0.6101967643848941, 0.06150028342531899]","[0.5837105573310523, 0.49246307330416605]","[1.3107598200525084, 0.8153115746318634]","[1.3174321504949118, 0.8264677801213353]","[-0.7212655603171556, 0.01866199980860994]",0.4065560613504823
10,3,"[0.9430325776695776, 0.4823167618252292]","[0.6101967643848941, 0.06150028342531899]","[0.6302110034048122, 0.47732032994768103]","[1.4529502544147015, 0.7553683646024957]","[1.2287504602459447, 0.8506265341794071]","[-0.6256431485295308, -0.009992863755096337]",0.3759602585890726
10,4,"[0.9415796274151629, 0.4815613934606267]","[0.6101967643848941, 0.06150028342531899]","[0.5489525261389083, 0.5161771376710909]","[1.2105224374741117, 0.9013338893047191]","[1.3694945083577958, 0.77781388049178]","[-0.7852542025525091, 0.0692314884209283]",0.42608479943768746
10,5,"[0.9403691049776888, 0.48066005957132196]","[0.6101967643848941, 0.06150028342531899]","[0.5477995058900637, 0.5150368086485433]","[1.246233319105775, 0.8627710789775341]","[1.3669699595433147, 0.7764414039530075]","[-0.7851391981752502, 0.06875349815444265]",0.42447207833573497
10,6,"[0.939122871658583, 0.47979728849234443]","[0.6101967643848941, 0.06150028342531899]","[0.5464075289041712, 0.5162527119142035]","[1.3739248531366408, 0.79630190437353]","[1.364739831505319, 0.7709742479747045]","[-0.7854306855088236, 0.07291084684371818]",0.4231636729926893
10,7,"[0.9377489468054464, 0.4790009865879709]","[0.6101967643848941, 0.06150028342531899]","[0.5502833175802677, 0.5156917497076439]","[1.3931859227459022, 0.792556005428476]","[1.3525424974464262, 0.7689580327098925]","[-0.7749312584503574, 0.0733815262393459]",0.4179255126860264
10,8,"[0.9363557608827004, 0.4782084305825424]","[0.6101967643848941, 0.06150028342531899]","[0.5652404950318327, 0.5161339148878339]","[1.437918758536418, 0.7548557919756232]","[1.3203254715271746, 0.7651504225649222]","[-0.7422305317017355, 0.07585096861058294]",0.4052737655202782
10,9,"[0.9349178421241641, 0.47745357479056677]","[0.6101967643848941, 0.06150028342531899]","[0.5775708369062209, 0.5223954067276384]","[1.4428714028569005, 0.7523942375039187]","[1.2926667648708376, 0.7510112852437666]","[-0.7146940104358863, 0.08988366387414326]",0.3952059042822191
10,10,"[0.9334749707213071, 0.4767011805530629]","[0.6101967643848941, 0.06150028342531899]","[0.5599214604172641, 0.5346468033073184]","[1.2901326404602438, 0.8055860534289923]","[1.3189527312201035, 0.7260996732978279]","[-0.7471070206080861, 0.11589124550851104]",0.40551051189893794
