robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
2,1,"[0.9944795396254875, 0.8501385740239629]","[0.9668518498257337, 0.320750320879281]","[0.7688866307697526, 0.7202439448585239]","[-0.17033752925622725, 0.9288818771239249]","[0.28084828845524257, 1.1886711354548027]","[-0.4511858177114698, -0.25978925833087785]",0.31489759941725853
2,2,"[0.9946498771547437, 0.849209692146839]","[0.9668518498257337, 0.320750320879281]","[0.7691123344108319, 0.7203759612842952]","[0.2812443296255781, 1.18787427000345]","[0.2811335974019319, 1.1857524733976597]","[-0.4510750854878236, -0.2576674617250876]",0.31377469410134906
2,3,"[0.9943686328251181, 0.8480218178768355]","[0.9668518498257337, 0.320750320879281]","[0.7686607525519501, 0.7201169688914156]","[0.28040077121342444, 1.1843056067347766]","[0.28074144627193687, 1.1824478429805287]","[-0.45141576054633603, -0.25580969797083974]",0.31242425369837223
2,4,"[0.9940882320539047, 0.8468375122701007]","[0.9668518498257337, 0.320750320879281]","[0.6397197247003292, 0.6452888075727792]","[-0.1063004496145944, 0.9579843712946559]","[0.4088412718099176, 1.2537230874789609]","[-0.708737014707151, -0.4030974093946431]",0.3606090131469446
2,5,"[0.9941945325035193, 0.845879527898806]","[0.9668518498257337, 0.320750320879281]","[0.6401064259211572, 0.6455151288082193]","[0.1515138062166631, 1.1045404195826047]","[0.40877347193793334, 1.2506228131296369]","[-0.7081762131647242, -0.4007287981811736]",0.3592704461839804
2,6,"[0.9940430186973026, 0.8447749874792234]","[0.9668518498257337, 0.320750320879281]","[0.6399775851745141, 0.6454440107175149]","[0.4085563929414428, 1.2506596098226588]","[0.40844777126592635, 1.2473803099615934]","[-0.708130867045577, -0.39866195352341705]",0.3578887956260115
2,7,"[0.9936344623043611, 0.8435243278694008]","[0.9668518498257337, 0.320750320879281]","[0.6397205425877893, 0.6452978915272749]","[0.4078454478426294, 1.2471959863648394]","[0.40747914467382673, 1.2437744503223653]","[-0.7078278394331436, -0.3964528726842518]",0.3562843620327096
2,8,"[0.9932266168565185, 0.842277131883036]","[0.9668518498257337, 0.320750320879281]","[0.6394632067563841, 0.6451533594976586]","[0.4066192919325718, 1.243444301594526]","[0.4065129441617039, 1.2401773943928873]","[-0.7075268202002687, -0.39424754477075474]",0.35468900891423355
2,9,"[0.9928199975645859, 0.8410336875814415]","[0.9668518498257337, 0.320750320879281]","[0.6394644329122943, 0.6451571111824289]","[0.40591287956367444, 1.2399992810642049]","[0.4052918601299962, 1.2364433098033336]","[-0.7067111293045834, -0.39175315279802514]",0.35298302049019065
2,10,"[0.9924140846850222, 0.8397936883003773]","[0.9668518498257337, 0.320750320879281]","[0.5657845519808796, 0.6024016068780241]","[0.036839368362153846, 1.0234542541125473]","[0.4777540024227197, 1.2754788162645456]","[-0.8532590654082852, -0.47478416284470626]",0.38924332436352865
