robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
13,1,"[0.25754119242032897, 0.3537742035823148]","[0.9451187143293178, 0.7206962246383404]","[0.309544631276762, 0.5074357816399084]","[-1.281548853876398, -0.45725320160838256]","[-1.3855557315892642, -0.7645763577235698]","[0.1040068777128661, 0.30732315611518723]",0.6100262419927489
13,2,"[0.2601042901280818, 0.3546887099855316]","[0.9451187143293178, 0.7206962246383404]","[0.3589645402202745, 0.5171870358095799]","[-1.2011504548856313, -0.7283582407635046]","[-1.3898008984209107, -0.7645146944704272]","[0.19772050018438547, 0.32499665164809666]",0.606824167640468
13,3,"[0.26250659103785307, 0.3561454264670586]","[0.9451187143293178, 0.7206962246383404]","[0.3943742591486628, 0.5242620976812861]","[-1.1905035340953558, -0.7291204808262521]","[-1.3915977802050916, -0.762724930585409]","[0.2637353362216195, 0.33623334242845493]",0.6034218250151142
13,4,"[0.2648875981060438, 0.3576036674287111]","[0.9451187143293178, 0.7206962246383404]","[0.42135863895334985, 0.5292432838859832]","[-1.190260037690464, -0.728674797938186]","[-1.3917564406160092, -0.760513037710713]","[0.31294208169461213, 0.3432792329145442]",0.5999449110355332
13,5,"[0.2672681181814247, 0.3590610170245874]","[0.9451187143293178, 0.7206962246383404]","[0.4421427985836899, 0.5331357264892245]","[-1.1996711185077995, -0.7281117460031727]","[-1.3906761283762392, -0.7580853571204333]","[0.34974936080453034, 0.3481494189292741]",0.5963497699159955
13,6,"[0.2696674604184403, 0.3605172405165938]","[0.9451187143293178, 0.7206962246383404]","[0.45833394274088346, 0.5362148398249951]","[-1.2137605216488572, -0.7282326852499793]","[-1.3886358042862434, -0.7554974881051735]","[0.3773329646448863, 0.3513951986168026]",0.5926097658082159
13,7,"[0.27209498146173805, 0.36197370588709377]","[0.9451187143293178, 0.7206962246383404]","[0.4710973184800927, 0.5386941598699915]","[-1.229150233193597, -0.7283440160120308]","[-1.3858479331388305, -0.7527891282990727]","[0.39800467403670925, 0.3534409079657954]",0.5887259953617187
13,8,"[0.2745532819281252, 0.3634303939191178]","[0.9451187143293178, 0.7206962246383404]","[0.48128304276604095, 0.5407420747272642]","[-1.2439762080878496, -0.7278986733859297]","[-1.3824768169699684, -0.7499939976000745]","[0.41345952167583144, 0.3546233616162928]",0.5847145355476059
13,9,"[0.27704123434430095, 0.36488619126588967]","[0.9451187143293178, 0.7206962246383404]","[0.4895113631119096, 0.5424850760292261]","[-1.257365343353795, -0.7266640313895935]","[-1.3786489857235555, -0.7471398436975687]","[0.42494025753521736, 0.3551977695266729]",0.5805967910604057
13,10,"[0.27955596503100855, 0.3663395193286689]","[0.9451187143293178, 0.7206962246383404]","[0.4962366694103084, 0.5440134363023222]","[-1.269001731547539, -0.7246412602304623]","[-1.3744616394724785, -0.7442481940140737]","[0.43336140875859974, 0.35534783394730673]",0.5763943026937566
13,11,"[0.2820939684941036, 0.3677888018491298]","[0.9451187143293178, 0.7206962246383404]","[0.5017944551559186, 0.5453891663766651]","[-1.2788548901956955, -0.7219521962810118]","[-1.3699895890027913, -0.7413349184839282]","[0.43940097332362993, 0.3552007290550706]",0.5721264819815481
13,12,"[0.284651678274495, 0.36923270624169185]","[0.9451187143293178, 0.7206962246383404]","[0.5064349947306671, 0.5466536773398988]","[-1.287025828391458, -0.7187594652282179]","[-1.36529073540088, -0.7384112310129385]","[0.4435666329123442, 0.35484194219641385]",0.5678099145231669
13,13,"[0.28722572993127793, 0.3706702251721483]","[0.9451187143293178, 0.7206962246383404]","[0.5103471796939698, 0.547834030867322]","[-1.2936656104821083, -0.7152224706786658]","[-1.3604102587486182, -0.7354847600714188]","[0.44624289952538376, 0.3543276113903473]",0.5634583987617264
13,14,"[0.28981306115224215, 0.37210067011350567]","[0.9451187143293178, 0.7206962246383404]","[0.5136753139141107, 0.5489476080989095]","[-1.2989351864097958, -0.7114778715066633]","[-1.355383756906525, -0.7325604966467502]","[0.4477245055237371, 0.3536938759708077]",0.5590832744889538
13,15,"[0.29241093152506176, 0.373523625856519]","[0.9451187143293178, 0.7206962246383404]","[0.5165309663652806, 0.5500054199112161]","[-1.3029874582640184, -0.7076339345461439]","[-1.3502395725765557, -0.7296415563745822]","[0.4482400696804377, 0.3529635881093942]",0.554693824443126
